,doc_id,token,bow
0,ML0201EN,ai,2
1,ML0201EN,apps,2
2,ML0201EN,build,2
3,ML0201EN,cloud,1
4,ML0201EN,coming,1
5,ML0201EN,create,1
6,ML0201EN,data,1
7,ML0201EN,developer,1
8,ML0201EN,found,1
9,ML0201EN,fun,1
10,ML0201EN,iot,4
11,ML0201EN,irobot,1
12,ML0201EN,learn,2
13,ML0201EN,node,1
14,ML0201EN,objects,1
15,ML0201EN,pi,1
16,ML0201EN,pictures,2
17,ML0201EN,place,1
18,ML0201EN,program,1
19,ML0201EN,raspberry,1
20,ML0201EN,raspcam,1
21,ML0201EN,read,1
22,ML0201EN,recognize,1
23,ML0201EN,red,2
24,ML0201EN,robot,1
25,ML0201EN,robots,1
26,ML0201EN,services,1
27,ML0201EN,swift,2
28,ML0201EN,take,1
29,ML0201EN,temperature,1
30,ML0201EN,use,1
31,ML0201EN,want,1
32,ML0201EN,watson,2
33,ML0201EN,way,1
34,ML0122EN,ai,2
35,ML0122EN,cloud,2
36,ML0122EN,data,1
37,ML0122EN,learn,1
38,ML0122EN,use,4
39,ML0122EN,accelerate,1
40,ML0122EN,accelerated,5
41,ML0122EN,accelerating,1
42,ML0122EN,analyze,1
43,ML0122EN,based,1
44,ML0122EN,benefit,1
45,ML0122EN,caffe,1
46,ML0122EN,case,1
47,ML0122EN,chips,1
48,ML0122EN,classification,1
49,ML0122EN,comfortable,1
50,ML0122EN,complex,1
51,ML0122EN,computations,1
52,ML0122EN,convolutional,1
53,ML0122EN,course,2
54,ML0122EN,datasets,1
55,ML0122EN,deep,4
56,ML0122EN,dependencies,1
57,ML0122EN,deploy,1
58,ML0122EN,designed,1
59,ML0122EN,feel,1
60,ML0122EN,google,1
61,ML0122EN,gpu,7
62,ML0122EN,hardware,5
63,ML0122EN,house,1
64,ML0122EN,ibm,1
65,ML0122EN,images,1
66,ML0122EN,including,2
67,ML0122EN,inference,1
68,ML0122EN,large,1
69,ML0122EN,learning,6
70,ML0122EN,libraries,1
71,ML0122EN,machine,1
72,ML0122EN,models,1
73,ML0122EN,need,1
74,ML0122EN,needs,1
75,ML0122EN,network,1
76,ML0122EN,networks,3
77,ML0122EN,neural,2
78,ML0122EN,nvidia,1
79,ML0122EN,one,1
80,ML0122EN,overcome,1
81,ML0122EN,platform,1
82,ML0122EN,popular,1
83,ML0122EN,power,3
84,ML0122EN,preferring,1
85,ML0122EN,premise,1
86,ML0122EN,problem,2
87,ML0122EN,problems,1
88,ML0122EN,processing,1
89,ML0122EN,public,1
90,ML0122EN,reduce,1
91,ML0122EN,scalability,1
92,ML0122EN,scaling,1
93,ML0122EN,sensitiveand,1
94,ML0122EN,several,1
95,ML0122EN,solution,1
96,ML0122EN,support,2
97,ML0122EN,supports,1
98,ML0122EN,system,1
99,ML0122EN,systems,1
100,ML0122EN,takes,1
101,ML0122EN,tensor,1
102,ML0122EN,tensorflow,1
103,ML0122EN,theano,1
104,ML0122EN,time,3
105,ML0122EN,torch,1
106,ML0122EN,tpu,1
107,ML0122EN,trained,1
108,ML0122EN,training,3
109,ML0122EN,understand,1
110,ML0122EN,unit,1
111,ML0122EN,uploading,1
112,ML0122EN,videos,1
113,GPXX0ZG0EN,learn,1
114,GPXX0ZG0EN,services,1
115,GPXX0ZG0EN,use,1
116,GPXX0ZG0EN,client,2
117,GPXX0ZG0EN,consuming,1
118,GPXX0ZG0EN,http,1
119,GPXX0ZG0EN,invoke,1
120,GPXX0ZG0EN,jax,2
121,GPXX0ZG0EN,microservices,1
122,GPXX0ZG0EN,reactive,2
123,GPXX0ZG0EN,restful,2
124,GPXX0ZG0EN,rs,2
125,GPXX0ZG0EN,using,1
126,RP0105EN,data,4
127,RP0105EN,large,1
128,RP0105EN,popular,1
129,RP0105EN,processing,1
130,RP0105EN,using,1
131,RP0105EN,analysis,1
132,RP0105EN,analyzing,1
133,RP0105EN,apache,2
134,RP0105EN,api,1
135,RP0105EN,big,1
136,RP0105EN,cluster,1
137,RP0105EN,computing,1
138,RP0105EN,distributed,1
139,RP0105EN,enables,1
140,RP0105EN,familiar,1
141,RP0105EN,frame,1
142,RP0105EN,framework,1
143,RP0105EN,performing,1
144,RP0105EN,provides,1
145,RP0105EN,r,2
146,RP0105EN,scale,1
147,RP0105EN,spark,2
148,RP0105EN,sparkr,1
149,RP0105EN,structured,1
150,RP0105EN,syntax,1
151,RP0105EN,used,1
152,RP0105EN,users,1
153,GPXX0Z2PEN,learn,1
154,GPXX0Z2PEN,application,2
155,GPXX0Z2PEN,boot,2
156,GPXX0Z2PEN,containerize,1
157,GPXX0Z2PEN,containerizing,1
158,GPXX0Z2PEN,liberty,1
159,GPXX0Z2PEN,modification,1
160,GPXX0Z2PEN,open,1
161,GPXX0Z2PEN,package,1
162,GPXX0Z2PEN,packaging,1
163,GPXX0Z2PEN,run,1
164,GPXX0Z2PEN,running,1
165,GPXX0Z2PEN,server,1
166,GPXX0Z2PEN,spring,2
167,CNSC02EN,cloud,2
168,CNSC02EN,data,2
169,CNSC02EN,conference,1
170,CNSC02EN,introduction,1
171,CNSC02EN,native,1
172,CNSC02EN,security,3
173,DX0106EN,data,3
174,DX0106EN,big,1
175,DX0106EN,r,1
176,DX0106EN,bootcamp,2
177,DX0106EN,day,1
178,DX0106EN,intensive,1
179,DX0106EN,multi,1
180,DX0106EN,offered,1
181,DX0106EN,person,1
182,DX0106EN,proffesors,1
183,DX0106EN,science,2
184,DX0106EN,university,2
185,GPXX0FTCEN,learn,2
186,GPXX0FTCEN,use,2
187,GPXX0FTCEN,containers,2
188,GPXX0FTCEN,development,2
189,GPXX0FTCEN,docker,2
190,GPXX0FTCEN,iterative,2
191,RAVSCTEST1,course,1
192,RAVSCTEST1,scorm,1
193,RAVSCTEST1,scron,1
194,RAVSCTEST1,test,2
195,GPXX06RFEN,create,1
196,GPXX06RFEN,basic,1
197,GPXX06RFEN,collections,1
198,GPXX06RFEN,creating,1
199,GPXX06RFEN,database,2
200,GPXX06RFEN,document,1
201,GPXX06RFEN,first,2
202,GPXX06RFEN,get,1
203,GPXX06RFEN,guided,1
204,GPXX06RFEN,management,1
205,GPXX06RFEN,mongodb,2
206,GPXX06RFEN,project,1
207,GPXX06RFEN,started,1
208,GPXX06RFEN,working,1
209,GPXX0SDXEN,learn,1
210,GPXX0SDXEN,microservices,2
211,GPXX0SDXEN,liberty,1
212,GPXX0SDXEN,open,1
213,GPXX0SDXEN,run,1
214,GPXX0SDXEN,arquillian,2
215,GPXX0SDXEN,container,2
216,GPXX0SDXEN,develop,1
217,GPXX0SDXEN,managed,2
218,GPXX0SDXEN,testing,1
219,GPXX0SDXEN,tests,2
220,CC0271EN,cloud,3
221,CC0271EN,developer,1
222,CC0271EN,course,1
223,CC0271EN,ibm,1
224,CC0271EN,solution,1
225,CC0271EN,using,1
226,CC0271EN,conference,1
227,CC0271EN,aiops,1
228,CC0271EN,attending,1
229,CC0271EN,comprehensive,1
230,CC0271EN,demonstrate,1
231,CC0271EN,digital,1
232,CC0271EN,essentials,1
233,CC0271EN,hands,1
234,CC0271EN,integration,4
235,CC0271EN,pak,2
236,CC0271EN,received,1
237,CC0271EN,short,1
238,WA0103EN,cloud,1
239,WA0103EN,data,1
240,WA0103EN,learn,3
241,WA0103EN,watson,5
242,WA0103EN,analyze,1
243,WA0103EN,course,1
244,WA0103EN,enables,1
245,WA0103EN,project,2
246,WA0103EN,analytics,6
247,WA0103EN,assemble,1
248,WA0103EN,base,1
249,WA0103EN,basics,1
250,WA0103EN,dataset,1
251,WA0103EN,fundamentals,1
252,WA0103EN,improve,1
253,WA0103EN,line,1
254,WA0103EN,media,4
255,WA0103EN,refine,1
256,WA0103EN,reports,1
257,WA0103EN,service,1
258,WA0103EN,setup,1
259,WA0103EN,smart,1
260,WA0103EN,social,5
261,WA0103EN,suggestions,1
262,WA0103EN,teaches,1
263,WA0103EN,topic,1
264,DX0108EN,data,2
265,DX0108EN,bootcamp,2
266,DX0108EN,science,2
267,DX0108EN,university,2
268,DX0108EN,advance,1
269,DX0108EN,professors,2
270,DX0108EN,python,2
271,GPXX0PICEN,create,1
272,GPXX0PICEN,take,1
273,GPXX0PICEN,first,1
274,GPXX0PICEN,project,1
275,GPXX0PICEN,python,2
276,GPXX0PICEN,algorithm,2
277,GPXX0PICEN,algorithmic,1
278,GPXX0PICEN,cryptocurrency,2
279,GPXX0PICEN,dive,1
280,GPXX0PICEN,earning,1
281,GPXX0PICEN,good,1
282,GPXX0PICEN,money,1
283,GPXX0PICEN,right,1
284,GPXX0PICEN,sleep,1
285,GPXX0PICEN,sound,1
286,GPXX0PICEN,trading,3
287,GPXX0PICEN,true,1
288,GPXX0PICEN,world,1
289,DAI101EN,ai,2
290,DAI101EN,data,2
291,DAI101EN,course,1
292,DAI101EN,essentials,2
293,GPXX0W7KEN,microservices,2
294,GPXX0W7KEN,access,1
295,GPXX0W7KEN,control,1
296,GPXX0W7KEN,eclipse,1
297,GPXX0W7KEN,java,1
298,GPXX0W7KEN,json,2
299,GPXX0W7KEN,jwt,2
300,GPXX0W7KEN,microprofile,4
301,GPXX0W7KEN,role,1
302,GPXX0W7KEN,securing,1
303,GPXX0W7KEN,token,2
304,GPXX0W7KEN,user,1
305,GPXX0W7KEN,web,2
306,GPXX0QR3EN,system,1
307,GPXX0QR3EN,jax,2
308,GPXX0QR3EN,microservices,1
309,GPXX0QR3EN,rs,2
310,GPXX0QR3EN,using,1
311,GPXX0QR3EN,distributed,1
312,GPXX0QR3EN,microprofile,1
313,GPXX0QR3EN,customize,1
314,GPXX0QR3EN,enable,1
315,GPXX0QR3EN,enabling,1
316,GPXX0QR3EN,methods,1
317,GPXX0QR3EN,non,1
318,GPXX0QR3EN,opentracing,1
319,GPXX0QR3EN,tracing,3
320,GPXX0QR3EN,zipkin,1
321,BD0145EN,create,1
322,BD0145EN,data,7
323,BD0145EN,learn,1
